location_key,YEAR,country_code,country_name,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,X4
CV,2020,CV,Cape Verde,0,11872.0,113.0,0.0,76082.0,11872.0,113.0,0.0,0.0,555988.0,279117.0,276871.0,185906.0,364029.0,2159137.0,3137690.0,137.962,0.654,105076.0,99937.0,97845.0,98286.0,64906.0,47912.0,26373.0,9056.0,6597.0,136.8410829010698
CV,2021,CV,Cape Verde,0,30591.0,240.0,0.0,172749.0,42463.0,353.0,0.0,0.0,555988.0,279117.0,276871.0,185906.0,364029.0,2159137.0,3137690.0,137.962,0.654,105076.0,99937.0,97845.0,98286.0,64906.0,47912.0,26373.0,9056.0,6597.0,310.7063461801334
CV,2022,CV,Cape Verde,0,19883.0,57.0,0.0,36086.0,62346.0,410.0,0.0,0.0,555988.0,279117.0,276871.0,185906.0,364029.0,2159137.0,3137690.0,137.962,0.654,105076.0,99937.0,97845.0,98286.0,64906.0,47912.0,26373.0,9056.0,6597.0,64.90427850960812
CW,2020,CW,Curaçao,0,4230.0,14.0,0.0,0.0,4230.0,14.0,0.0,0.0,164100.0,75469.0,88631.0,17175.0,140363.0,2159137.0,3137690.0,369.595,0.89,19331.0,21574.0,19538.0,18723.0,20281.0,24426.0,20705.0,13005.0,6517.0,0.0
CW,2021,CW,Curaçao,0,16480.0,175.0,0.0,1342.0,20710.0,189.0,0.0,1342.0,164100.0,75469.0,88631.0,17175.0,140363.0,2159137.0,3137690.0,369.595,0.89,19331.0,21574.0,19538.0,18723.0,20281.0,24426.0,20705.0,13005.0,6517.0,8.17794028031688
CW,2022,CW,Curaçao,0,24635.0,98.0,0.0,20758.0,45345.0,287.0,0.0,22100.0,164100.0,75469.0,88631.0,17175.0,140363.0,2159137.0,3137690.0,369.595,0.89,19331.0,21574.0,19538.0,18723.0,20281.0,24426.0,20705.0,13005.0,6517.0,126.49603900060937
CY,2020,CY,Cyprus,0,23276.0,130.0,0.0,1034939.0,23276.0,130.0,0.0,1040856.0,875899.0,427831.0,448068.0,397867.0,800708.0,2159137.0,3137690.0,94.4,0.85,95734.0,94326.0,137873.0,139859.0,110212.0,108417.0,93559.0,63906.0,32013.0,1181.5734462535063
CY,2021,CY,Cyprus,0,144203.0,518.0,0.0,18400293.0,167479.0,648.0,0.0,19441149.0,875899.0,427831.0,448068.0,397867.0,800708.0,2159137.0,3137690.0,94.4,0.85,95734.0,94326.0,137873.0,139859.0,110212.0,108417.0,93559.0,63906.0,32013.0,21007.32276209928
CY,2022,CY,Cyprus,0,412420.0,525.0,0.0,10060622.0,579899.0,1173.0,0.0,29501771.0,875899.0,427831.0,448068.0,397867.0,800708.0,2159137.0,3137690.0,94.4,0.85,95734.0,94326.0,137873.0,139859.0,110212.0,108417.0,93559.0,63906.0,32013.0,11486.052615655459
CZ,2020,CZ,Czech Republic,0,733024.0,12017.0,625160.0,3810163.0,733024.0,12017.0,625160.0,3810183.0,10649800.0,5244194.0,5405606.0,2782553.0,7887156.0,1298804.0,1298804.0,137.7,0.888,1139146.0,1021305.0,1166994.0,1512166.0,1724438.0,1320174.0,1358902.0,973768.0,432907.0,357.7685026948863
CZ,2021,CZ,Czech Republic,0,1752212.0,24334.0,1738814.0,11964117.0,2485236.0,36351.0,2363974.0,15774300.0,10649800.0,5244194.0,5405606.0,2782553.0,7887156.0,1298804.0,1298804.0,137.7,0.888,1139146.0,1021305.0,1166994.0,1512166.0,1724438.0,1320174.0,1358902.0,973768.0,432907.0,1123.412364551447
CZ,2022,CZ,Czech Republic,0,1585677.0,4592.0,1646757.0,5984644.0,4070913.0,40943.0,4010731.0,21758944.0,10649800.0,5244194.0,5405606.0,2782553.0,7887156.0,1298804.0,1298804.0,137.7,0.888,1139146.0,1021305.0,1166994.0,1512166.0,1724438.0,1320174.0,1358902.0,973768.0,432907.0,561.9489567879209
DE,2020,DE,Germany,0,1764752.0,51554.0,0.0,0.0,1764752.0,51554.0,0.0,35172907.0,83019213.0,40966691.0,42052522.0,18807964.0,64324835.0,3556792.0,7977060.0,234.7,0.942,7588635.0,7705657.0,9800607.0,10646445.0,10426257.0,13474166.0,10302411.0,7685929.0,5389106.0,0.0
DE,2021,DE,Germany,0,5444711.0,66727.0,0.0,0.0,7209463.0,118281.0,0.0,92472500.0,83019213.0,40966691.0,42052522.0,18807964.0,64324835.0,3556792.0,7977060.0,234.7,0.942,7588635.0,7705657.0,9800607.0,10646445.0,10426257.0,13474166.0,10302411.0,7685929.0,5389106.0,0.0
DE,2022,DE,Germany,0,25395530.0,30447.0,0.0,0.0,32604993.0,148728.0,0.0,131286804.0,83019213.0,40966691.0,42052522.0,18807964.0,64324835.0,3556792.0,7977060.0,234.7,0.942,7588635.0,7705657.0,9800607.0,10646445.0,10426257.0,13474166.0,10302411.0,7685929.0,5389106.0,0.0
DJ,2020,DJ,Djibouti,0,5840.0,61.0,0.0,0.0,5840.0,61.0,0.0,0.0,988002.0,518993.0,469009.0,215011.0,758549.0,568804.0,3137690.0,42.623,0.476,197110.0,179320.0,177328.0,162416.0,120922.0,78077.0,44334.0,22330.0,6165.0,0.0
DJ,2021,DJ,Djibouti,0,7828.0,128.0,0.0,0.0,13668.0,189.0,0.0,0.0,988002.0,518993.0,469009.0,215011.0,758549.0,568804.0,3137690.0,42.623,0.476,197110.0,179320.0,177328.0,162416.0,120922.0,78077.0,44334.0,22330.0,6165.0,0.0
DJ,2022,DJ,Djibouti,0,2022.0,0.0,0.0,1233.0,15690.0,189.0,0.0,309732.0,988002.0,518993.0,469009.0,215011.0,758549.0,568804.0,3137690.0,42.623,0.476,197110.0,179320.0,177328.0,162416.0,120922.0,78077.0,44334.0,22330.0,6165.0,1.2479731822405218
DK,2020,DK,Denmark,0,167771.0,1347.0,0.0,10572230.0,167771.0,1347.0,0.0,10572230.0,5806081.0,2889073.0,2917008.0,698575.0,5119978.0,1333888.0,1333888.0,138.0,0.929,618216.0,683669.0,783879.0,681161.0,762648.0,797775.0,662929.0,552058.0,263746.0,1820.889167753602
DK,2021,DK,Denmark,0,658796.0,1938.0,0.0,43070902.0,826567.0,3285.0,0.0,53643132.0,5806081.0,2889073.0,2917008.0,698575.0,5119978.0,1333888.0,1333888.0,138.0,0.929,618216.0,683669.0,783879.0,681161.0,762648.0,797775.0,662929.0,552058.0,263746.0,7418.239945326288
DK,2022,DK,Denmark,0,2457139.0,3702.0,0.0,11006781.0,3283706.0,6987.0,0.0,64649913.0,5806081.0,2889073.0,2917008.0,698575.0,5119978.0,1333888.0,1333888.0,138.0,0.929,618216.0,683669.0,783879.0,681161.0,762648.0,797775.0,662929.0,552058.0,263746.0,1895.733283776096
DM,2020,DM,Dominica,0,96.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,71991.0,35041.0,36298.0,20978.0,50830.0,2159137.0,3137690.0,95.988,0.715,15280.0,15360.0,10894.0,12217.0,8926.0,5747.0,2629.0,178.0,110.0,0.0
DM,2021,DM,Dominica,0,6766.0,47.0,0.0,0.0,6862.0,47.0,0.0,0.0,71991.0,35041.0,36298.0,20978.0,50830.0,2159137.0,3137690.0,95.988,0.715,15280.0,15360.0,10894.0,12217.0,8926.0,5747.0,2629.0,178.0,110.0,0.0
DM,2022,DM,Dominica,0,7990.0,21.0,0.0,4032.0,14852.0,68.0,0.0,205366.0,71991.0,35041.0,36298.0,20978.0,50830.0,2159137.0,3137690.0,95.988,0.715,15280.0,15360.0,10894.0,12217.0,8926.0,5747.0,2629.0,178.0,110.0,56.00700087510939
DO,2020,DO,Dominican Republic,0,172218.0,2416.0,0.0,841770.0,172218.0,2416.0,0.0,878581.0,10847904.0,5418206.0,5429698.0,1951483.0,8787475.0,3245021.0,3245021.0,224.501,0.736,1999348.0,1935875.0,1854317.0,1564382.0,1274489.0,1014335.0,682139.0,341500.0,181519.0,77.5974787387499
DO,2021,DO,Dominican Republic,0,247709.0,1831.0,0.0,390405.0,419927.0,4247.0,0.0,2191882.0,10847904.0,5418206.0,5429698.0,1951483.0,8787475.0,3245021.0,3245021.0,224.501,0.736,1999348.0,1935875.0,1854317.0,1564382.0,1274489.0,1014335.0,682139.0,341500.0,181519.0,35.98897999097337
DO,2022,DO,Dominican Republic,0,221750.0,137.0,0.0,292157.0,641677.0,4384.0,0.0,3444251.0,10847904.0,5418206.0,5429698.0,1951483.0,8787475.0,3245021.0,3245021.0,224.501,0.736,1999348.0,1935875.0,1854317.0,1564382.0,1274489.0,1014335.0,682139.0,341500.0,181519.0,26.932115180960302
DZ,2020,DZ,Algeria,0,99897.0,2756.0,0.0,0.0,99897.0,2756.0,0.0,0.0,43851043.0,22153808.0,21697235.0,11542954.0,31510100.0,2729325.0,2729325.0,18.411,0.754,9677490.0,6731747.0,6573715.0,7275235.0,5448619.0,3800056.0,2530542.0,1237834.0,575805.0,0.0
DZ,2021,DZ,Algeria,0,118921.0,3528.0,0.0,0.0,218818.0,6284.0,0.0,0.0,43851043.0,22153808.0,21697235.0,11542954.0,31510100.0,2729325.0,2729325.0,18.411,0.754,9677490.0,6731747.0,6573715.0,7275235.0,5448619.0,3800056.0,2530542.0,1237834.0,575805.0,0.0
DZ,2022,DZ,Algeria,0,51752.0,595.0,0.0,0.0,270570.0,6879.0,0.0,230553.0,43851043.0,22153808.0,21697235.0,11542954.0,31510100.0,2729325.0,2729325.0,18.411,0.754,9677490.0,6731747.0,6573715.0,7275235.0,5448619.0,3800056.0,2530542.0,1237834.0,575805.0,0.0
EC,2020,EC,Ecuador,0,213378.0,14051.0,0.0,695311.0,213378.0,14051.0,0.0,708824.0,17643060.0,8823827.0,8819233.0,6256951.0,11116711.0,2946158.0,4793906.0,71.038,0.746,3277730.0,3115985.0,3036188.0,2592839.0,2088240.0,1591139.0,1087738.0,570124.0,283077.0,39.40988694704887
EC,2021,EC,Ecuador,0,336040.0,19630.0,0.0,1338047.0,549418.0,33681.0,0.0,2048815.0,17643060.0,8823827.0,8819233.0,6256951.0,11116711.0,2946158.0,4793906.0,71.038,0.746,3277730.0,3115985.0,3036188.0,2592839.0,2088240.0,1591139.0,1087738.0,570124.0,283077.0,75.83984864303585
EC,2022,EC,Ecuador,0,450419.0,2203.0,0.0,821870.0,999837.0,35884.0,0.0,2870685.0,17643060.0,8823827.0,8819233.0,6256951.0,11116711.0,2946158.0,4793906.0,71.038,0.746,3277730.0,3115985.0,3036188.0,2592839.0,2088240.0,1591139.0,1087738.0,570124.0,283077.0,46.58318908397977
EE,2020,EE,Estonia,0,28428.0,241.0,0.0,638401.0,28428.0,241.0,0.0,638401.0,1324820.0,625635.0,699185.0,410566.0,916024.0,441321.0,3137690.0,30.4,0.892,144911.0,133739.0,152825.0,192519.0,182048.0,171824.0,162450.0,109787.0,74717.0,481.8775380806449
EE,2021,EE,Estonia,0,214114.0,1697.0,0.0,1890055.0,242542.0,1938.0,0.0,2528456.0,1324820.0,625635.0,699185.0,410566.0,916024.0,441321.0,3137690.0,30.4,0.892,144911.0,133739.0,152825.0,192519.0,182048.0,171824.0,162450.0,109787.0,74717.0,1426.650412886279
EE,2022,EE,Estonia,0,357177.0,723.0,0.0,972154.0,599719.0,2661.0,0.0,3500610.0,1324820.0,625635.0,699185.0,410566.0,916024.0,441321.0,3137690.0,30.4,0.892,144911.0,133739.0,152825.0,192519.0,182048.0,171824.0,162450.0,109787.0,74717.0,733.8008182243626
EG,2020,EG,Egypt,0,139471.0,7687.0,0.0,0.0,139471.0,7687.0,0.0,0.0,102334403.0,51702862.0,50631541.0,57492249.0,42895824.0,20484965.0,25667415.0,102.802,0.696,25028540.0,18385431.0,16511130.0,15198349.0,10948602.0,7844892.0,5122657.0,2530980.0,763822.0,0.0
