location_key,YEAR,country_code,country_name,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older
MA,2022,MA,Morocco,0.0,299291.0,1425.0,0.0,1155022.0,1264711.0,16276.0,0.0,11738659.0,365527.0,24995699.0,494531.0,23489140.0,4942048.0,55207628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36910558.0,18316887.0,18593671.0,13496743.0,22975026.0,3716093.0,7941338.0,82.703,0.667,6752615.0,6097196.0,5883278.0,5606356.0,4452432.0,3743784.0,2735019.0,1197078.0,442800.0
MC,2020,MC,Monaco,0.0,885.0,3.0,0.0,0.0,885.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39244.0,11648.0,12406.0,0.0,38964.0,2159137.0,3137690.0,26338.255,0.735,1599.0,2211.0,2292.0,2094.0,2662.0,3531.0,3488.0,3275.0,2903.0
MC,2021,MC,Monaco,0.0,4325.0,36.0,0.0,0.0,5210.0,39.0,0.0,0.0,20426.0,28875.0,18504.0,25667.0,65140.0,65140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39244.0,11648.0,12406.0,0.0,38964.0,2159137.0,3137690.0,26338.255,0.735,1599.0,2211.0,2292.0,2094.0,2662.0,3531.0,3488.0,3275.0,2903.0
MC,2022,MC,Monaco,0.0,9261.0,24.0,0.0,0.0,14471.0,63.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39244.0,11648.0,12406.0,0.0,38964.0,2159137.0,3137690.0,26338.255,0.735,1599.0,2211.0,2292.0,2094.0,2662.0,3531.0,3488.0,3275.0,2903.0
MD,2020,MD,Moldova,0.0,145258.0,3155.0,0.0,195496.0,145258.0,3155.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4033963.0,1931953.0,2102010.0,1522135.0,1135502.0,504342.0,3137690.0,122.799,0.693,424058.0,419286.0,570833.0,773876.0,562808.0,521015.0,488289.0,184989.0,88809.0
MD,2021,MD,Moldova,0.0,231176.0,7129.0,0.0,1852284.0,376434.0,10284.0,0.0,0.0,986048.0,989897.0,974155.0,982152.0,1772664.0,1776513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4033963.0,1931953.0,2102010.0,1522135.0,1135502.0,504342.0,3137690.0,122.799,0.693,424058.0,419286.0,570833.0,773876.0,562808.0,521015.0,488289.0,184989.0,88809.0
MD,2022,MD,Moldova,0.0,206749.0,1524.0,0.0,512557.0,583183.0,11808.0,0.0,0.0,93389.0,1083286.0,81273.0,1063425.0,389087.0,2165600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4033963.0,1931953.0,2102010.0,1522135.0,1135502.0,504342.0,3137690.0,122.799,0.693,424058.0,419286.0,570833.0,773876.0,562808.0,521015.0,488289.0,184989.0,88809.0
ME,2020,ME,Montenegro,0.0,48544.0,682.0,0.0,0.0,48544.0,682.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622182.0,307712.0,314470.0,204372.0,417765.0,2159137.0,3137690.0,45.7,0.802,74464.0,77613.0,79498.0,90519.0,82794.0,82291.0,75972.0,38778.0,20253.0
ME,2021,ME,Montenegro,0.0,123423.0,1729.0,0.0,0.0,171967.0,2411.0,0.0,0.0,283884.0,283884.0,272521.0,272853.0,634517.0,634517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622182.0,307712.0,314470.0,204372.0,417765.0,2159137.0,3137690.0,45.7,0.802,74464.0,77613.0,79498.0,90519.0,82794.0,82291.0,75972.0,38778.0,20253.0
ME,2022,ME,Montenegro,0.0,105838.0,367.0,0.0,0.0,277805.0,2778.0,0.0,0.0,8899.0,292783.0,12016.0,284869.0,44654.0,679171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622182.0,307712.0,314470.0,204372.0,417765.0,2159137.0,3137690.0,45.7,0.802,74464.0,77613.0,79498.0,90519.0,82794.0,82291.0,75972.0,38778.0,20253.0
