location_key,YEAR,country_code,country_name,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
GY,2021,GY,Guyana,0.0,33241.0,890.0,0.0,0.0,39573.0,1054.0,0.0,387266.0,410499.0,410499.0,293560.0,294160.0,715724.0,715724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GY,2022,GY,Guyana,0.0,31636.0,225.0,0.0,0.0,71209.0,1279.0,0.0,442695.0,75392.0,485891.0,167445.0,461605.0,302245.0,1017969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,2020,HK,Hong Kong,0.0,8847.0,181.0,0.0,0.0,8847.0,181.0,0.0,5809821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,2021,HK,Hong Kong,0.0,3808.0,32.0,0.0,0.0,12655.0,213.0,0.0,30289486.0,4876238.0,4876285.0,4662003.0,4662004.0,9925439.0,9925486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,2022,HK,Hong Kong,0.0,2786.0,3.0,0.0,0.0,15441.0,216.0,0.0,49426686.0,1961211.0,6837496.0,1973356.0,6635360.0,9063242.0,18988728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HN,2020,HN,Honduras,0.0,122763.0,3141.0,0.0,0.0,122763.0,3141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HN,2021,HN,Honduras,0.0,256779.0,7293.0,0.0,0.0,379542.0,10434.0,0.0,0.0,4912678.0,4915362.0,4293966.0,4296605.0,9586380.0,9589064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HN,2022,HN,Honduras,0.0,76127.0,555.0,0.0,0.0,455669.0,10989.0,0.0,0.0,1409288.0,6324650.0,1300548.0,5597153.0,5890783.0,15479847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2020,HR,Croatia,0.0,212007.0,3961.0,0.0,983152.0,212007.0,3961.0,0.0,1024740.0,0.0,7864.0,0.0,0.0,0.0,7864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2021,HR,Croatia,0.0,508531.0,8610.0,0.0,1435721.0,720538.0,12571.0,0.0,3757416.0,2251529.0,2259393.0,1941633.0,1953540.0,4721887.0,4729751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2022,HR,Croatia,0.0,501469.0,4246.0,0.0,307282.0,1222007.0,16817.0,0.0,4922712.0,58372.0,2317765.0,294441.0,2247981.0,546111.0,5275862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HT,2020,HT,Haiti,0.0,10015.0,236.0,0.0,0.0,10015.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HT,2021,HT,Haiti,0.0,16240.0,537.0,0.0,0.0,26255.0,773.0,0.0,153254.0,123898.0,123936.0,73239.0,73580.0,197137.0,197175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HT,2022,HT,Haiti,0.0,7447.0,84.0,0.0,598.0,33702.0,857.0,0.0,206594.0,234969.0,358905.0,148065.0,221645.0,271330.0,468505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020,HU,Hungary,0.0,326688.0,9781.0,0.0,2245155.0,326688.0,9781.0,0.0,2245155.0,0.0,0.0,0.0,0.0,0.0,1094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2021,HU,Hungary,0.0,929727.0,29405.0,0.0,6473364.0,1256415.0,39186.0,0.0,8718519.0,6136375.0,6266064.0,5979926.0,5981569.0,15073542.0,15074636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2022,HU,Hungary,0.0,814028.0,8223.0,0.0,2225201.0,2070443.0,47409.0,0.0,10943720.0,151243.0,6417307.0,221940.0,6203509.0,1455852.0,16530488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,2020,ID,Indonesia,0.0,743202.0,22138.0,611097.0,0.0,743198.0,22138.0,611097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,2021,ID,Indonesia,0.0,3519522.0,121956.0,3503237.0,34639602.0,4262720.0,144094.0,4114334.0,42614359.0,161082857.0,161082857.0,113660859.0,113666327.0,274749184.0,274749184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,2022,ID,Indonesia,0.0,2139966.0,13755.0,2101377.0,16889376.0,6402686.0,157849.0,6215711.0,59503735.0,42799494.0,203882351.0,56832328.0,170498655.0,161568371.0,436317555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,2020,IE,Ireland,0.0,94610.0,2296.0,0.0,2395942.0,94610.0,2296.0,0.0,2402399.0,2173.0,2408.0,5.0,21.0,2178.0,2428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,2021,IE,Ireland,0.0,721766.0,3832.0,0.0,7668159.0,816376.0,6128.0,0.0,10070558.0,3925645.0,3928053.0,3876574.0,3876595.0,9837597.0,9840025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
